Frequency_Hz,Node1_Mag_dB,Node1_Phase_deg
5.752e+010,33.9794,0
5.761e+010,33.9794,0
5.77e+010,33.9794,0
5.779e+010,33.9794,0
5.788e+010,33.9794,0
5.797e+010,33.9794,0
5.806e+010,33.9794,0
5.815e+010,33.9794,0
5.824e+010,33.9794,0
5.833e+010,33.9794,0
5.842e+010,33.9794,0
5.851e+010,33.9794,0
5.86e+010,33.9794,0
5.869e+010,33.9794,0
5.878e+010,33.9794,0
5.887e+010,33.9794,0
5.896e+010,33.9794,0
5.905e+010,33.9794,0
5.914e+010,33.9794,0
5.923e+010,33.9794,0
5.932e+010,33.9794,0
5.941e+010,33.9794,0
5.95e+010,33.9794,0
5.959e+010,33.9794,0
5.968e+010,33.9794,0
5.977e+010,33.9794,0
5.986e+010,33.9794,0
5.995e+010,33.9794,0
6.004e+010,33.9794,0
6.013e+010,33.9794,0
6.022e+010,33.9794,0
6.031e+010,33.9794,0
6.04e+010,33.9794,0
6.049e+010,33.9794,0
6.058e+010,33.9794,0
6.067e+010,33.9794,0
6.076e+010,33.9794,0
6.085e+010,33.9794,0
6.094e+010,33.9794,0
6.103e+010,33.9794,0
6.112e+010,33.9794,0
6.121e+010,33.9794,0
6.13e+010,33.9794,0
6.139e+010,33.9794,0
6.148e+010,33.9794,0
6.157e+010,33.9794,0
6.166e+010,33.9794,0
6.175e+010,33.9794,0
6.184e+010,33.9794,0
6.193e+010,33.9794,0
6.202e+010,33.9794,0
6.211e+010,33.9794,0
6.22e+010,33.9794,0
6.229e+010,33.9794,0
6.238e+010,33.9794,0
6.247e+010,33.9794,0
6.256e+010,33.9794,0
6.265e+010,33.9794,0
6.274e+010,33.9794,0
6.283e+010,33.9794,0
6.292e+010,33.9794,0
6.301e+010,33.9794,0
6.31e+010,33.9794,0
6.319e+010,33.9794,0
6.328e+010,33.9794,0
6.337e+010,33.9794,0
6.346e+010,33.9794,0
6.355e+010,33.9794,0
6.364e+010,33.9794,0
6.373e+010,33.9794,0
6.382e+010,33.9794,0
6.391e+010,33.9794,0
6.4e+010,33.9794,0
6.409e+010,33.9794,0
6.418e+010,33.9794,0
6.427e+010,33.9794,0
6.436e+010,33.9794,0
6.445e+010,33.9794,0
6.454e+010,33.9794,0
6.463e+010,33.9794,0
6.472e+010,33.9794,0
6.481e+010,33.9794,0
6.49e+010,33.9794,0
6.499e+010,33.9794,0
6.508e+010,33.9794,0
6.517e+010,33.9794,0
6.526e+010,33.9794,0
6.535e+010,33.9794,0
6.544e+010,33.9794,0
6.553e+010,33.9794,0
6.562e+010,33.9794,0
6.571e+010,33.9794,0
6.58e+010,33.9794,0
6.589e+010,33.9794,0
6.598e+010,33.9794,0
6.607e+010,33.9794,0
6.616e+010,33.9794,0
6.625e+010,33.9794,0
6.634e+010,33.9794,0
6.643e+010,33.9794,0
6.652e+010,33.9794,0
6.661e+010,33.9794,0
6.67e+010,33.9794,0
6.679e+010,33.9794,0
6.688e+010,33.9794,0
6.697e+010,33.9794,0
6.706e+010,33.9794,0
6.715e+010,33.9794,0
6.724e+010,33.9794,0
6.733e+010,33.9794,0
6.742e+010,33.9794,0
6.751e+010,33.9794,0
6.76e+010,33.9794,0
6.769e+010,33.9794,0
6.778e+010,33.9794,0
6.787e+010,33.9794,0
6.796e+010,33.9794,0
6.805e+010,33.9794,0
6.814e+010,33.9794,0
6.823e+010,33.9794,0
6.832e+010,33.9794,0
6.841e+010,33.9794,0
6.85e+010,33.9794,0
6.859e+010,33.9794,0
6.868e+010,33.9794,0
6.877e+010,33.9794,0
6.886e+010,33.9794,0
6.895e+010,33.9794,0
